Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2543","Sweeteners, Other","2013","2013","kcal/capita/day","24","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2745","Honey","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2745","Honey","2013","2013","1000 tonnes","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2745","Honey","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2745","Honey","2013","2013","1000 tonnes","1669","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2745","Honey","2013","2013","kg","0.24","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2745","Honey","2013","2013","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2546","Beans","2013","2013","1000 tonnes","2669","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2546","Beans","2013","2013","1000 tonnes","1227","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2546","Beans","2013","2013","1000 tonnes","1246","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2546","Beans","2013","2013","1000 tonnes","59","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2546","Beans","2013","2013","1000 tonnes","17416","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2546","Beans","2013","2013","kg","2.49","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2546","Beans","2013","2013","kcal/capita/day","23","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2547","Peas","2013","2013","1000 tonnes","3388","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2547","Peas","2013","2013","1000 tonnes","842","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2547","Peas","2013","2013","1000 tonnes","429","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2547","Peas","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2547","Peas","2013","2013","1000 tonnes","28","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2547","Peas","2013","2013","1000 tonnes","5833","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2547","Peas","2013","2013","kg","0.83","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2547","Peas","2013","2013","kcal/capita/day","8","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2549","Pulses, Other and products","2013","2013","1000 tonnes","7134","A","Aggregate, may include official, semi-official, estimated or calculated data"
